water_year,month,day,calendar_year,hour,sme2_ta_C,smf1_ta_C,smg1_ta_C,smg2_ta_C,smm1_ta_C,smm2_ta_C
2010,12,3,2009,23,-5.6,-10.3,-9.8,-5.7,-10.9,-6.4
2010,6,30,2010,12,20.9,23.2,23.3,21.8,22.6,20.1
2013,3,15,2013,9,5.2,4.5,6.1,5.1,7.0,5.6
2013,9,18,2013,0,4.8,6.3,6.8,5.3,6.7,5.8
2013,11,14,2012,5,-0.7,-0.6,0.0,-0.7,-0.2,0.0
2009,1,14,2009,23,4.6,-7.0,-7.2,2.4,-7.0,2.4
2013,9,1,2013,14,29.2,31.1,31.7,29.6,30.9,30.2
2008,6,22,2008,23,15.7,10.6,10.3,15.8,11.2,15.3
2013,3,8,2013,19,-1.2,-1.4,-0.5,-0.6,-0.6,-0.2
2008,7,5,2008,15,23.2,24.6,25.2,23.9,24.5,23.3
2009,1,12,2009,3,0.0,0.5,0.5,0.5,0.3,-1.0
2010,8,28,2010,16,15.1,16.9,17.2,16.1,16.9,15.5
2012,11,27,2011,21,6.3,2.8,3.7,7.4,2.4,6.8
2008,6,28,2008,9,21.9,23.2,23.8,22.5,23.5,21.7
2009,3,19,2009,18,8.2,7.1,9.8,9.3,7.4,7.5
2009,10,14,2008,22,6.5,2.8,4.0,6.0,0.7,5.7
2011,12,16,2010,15,-3.9,-2.8,-1.3,-3.1,-2.7,-3.4
2012,8,27,2012,20,21.9,16.8,16.9,22.1,16.5,23.4
2011,8,22,2011,11,25.8,28.4,28.2,26.7,28.1,26.1
2013,12,19,2012,6,-12.5,-19.6,-19.2,-13.4,-18.1,-11.5
2009,11,5,2008,23,-2.2,-4.0,-3.9,-1.5,-5.5,-3.2
2012,7,18,2012,6,13.0,8.5,9.4,14.4,7.8,13.5
2012,2,21,2012,4,-1.8,-0.9,-0.7,-1.2,-0.7,-1.5
2009,4,24,2009,22,-0.3,-2.1,-1.2,0.9,-1.9,-0.9
2010,7,9,2010,3,19.9,14.1,15.0,18.2,12.9,20.0
2008,10,20,2007,20,-0.5,0.2,0.9,0.1,0.5,-0.2
2008,3,26,2008,0,0.2,0.2,0.5,0.6,-0.7,0.6
2009,11,7,2008,10,9.2,4.6,9.3,8.2,7.2,6.7
2012,5,17,2012,11,13.8,15.4,15.7,14.8,15.8,14.2
2010,3,14,2010,22,-3.3,-6.2,-3.7,-3.5,-6.6,-3.1
